time,ghb,in-out,percent-discrepancy,rcha,sfr,sto-ss,sto-sy,total,wel
1.0,-971.4346,-0.6821,-0.02,4412.5005,-2541.3384,0.0,0.0,-0.6821289,-900.4096
31.0,-23879.88,-8.6591,-0.01,100056.4,-59960.52,321.6221,11370.441,-8.6640625,-27916.723
61.0,-55882.094,-2.5914,-0.0,259378.67,-144093.36,-125.691895,-4348.6934,-2.59375,-54931.42
91.0,-99836.164,5.1773,0.0,475347.0,-265706.47,-779.3827,-27071.516,5.1875,-81948.28
121.0,-152855.05,13.0226,0.0,725584.2,-417103.38,-1313.1238,-45339.34,13.0,-108960.266
151.0,-209319.02,21.9349,0.0,980839.8,-580766.56,-1544.2343,-53212.28,21.9375,-135975.81
181.0,-262342.4,17.2858,0.0,1209101.9,-734510.5,-1382.4661,-47858.867,17.25,-162990.34
211.0,-305815.28,10.3285,0.0,1385335.6,-858365.2,-863.85065,-30277.098,10.375,-190003.9
241.0,-335990.72,6.0309,0.0,1498191.6,-940288.44,-128.95947,-4762.9297,6.0,-217014.64
271.0,-352513.7,-3.7996,-0.0,1552787.8,-979181.6,629.9352,22300.887,-3.75,-244027.05
301.0,-358525.44,-10.2925,-0.0,1569562.1,-985100.3,1220.1346,43871.98,-10.25,-271038.84
331.0,-359985.9,-18.1519,-0.0,1578816.6,-976395.0,1493.9808,54106.254,-18.125,-298054.12
361.0,-364258.03,-8.7802,-0.0,1612815.5,-974864.0,1379.3589,49987.547,-8.75,-325069.1
391.0,-377916.78,-2.4059,-0.0,1697363.5,-1000899.6,903.7554,32627.367,-2.375,-352080.6
421.0,-404939.47,1.9982,0.0,1845042.9,-1068078.8,187.79736,6883.867,2.0,-379094.25
451.0,-445778.56,9.8547,0.0,2051900.6,-1179121.8,-584.9563,-20296.664,10.0,-406108.97
481.0,-497252.44,17.8719,0.0,2298555.0,-1325089.9,-1211.6101,-41860.21,18.0,-433123.03
511.0,-553456.7,25.5937,0.0,2555132.8,-1487611.1,-1520.2141,-52381.9,25.75,-460137.3
541.0,-607366.94,17.4571,0.0,2789311.8,-1644006.4,-1426.9343,-49341.703,17.5,-487152.44
571.0,-652564.8,6.969,0.0,2974471.5,-1773280.0,-958.1997,-33498.58,7.0,-514163.0
601.0,-684835.56,-0.4272,-0.0,3096915.5,-1861816.1,-245.05566,-8841.281,-0.5,-541177.94
631.0,-703286.7,-15.2432,-0.0,3159278.0,-1906767.2,522.65967,18431.734,-15.25,-568193.56
661.0,-710551.3,-26.6903,-0.0,3179956.2,-1916614.8,1148.9023,41240.938,-26.5,-595206.7
691.0,-712238.3,-33.2063,-0.0,3188231.2,-1908740.9,1476.9458,53455.11,-33.25,-622217.4
721.0,-715625.5,-22.9759,-0.0,3216627.5,-1904742.4,1421.4053,51525.594,-23.0,-649229.6
