name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
pname:wel_0_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:28,-150.068,125,-400.068,99.9317,-150.068,21.6209,-193.31,-106.827
pname:wel_0_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:34,-150.068,125,-400.068,99.9317,-150.068,23.4656,-197,-103.137
pname:wel_0_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:61,-150.068,125,-400.068,99.9317,-150.068,18.6375,-187.343,-112.793
pname:wel_0_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:79,-150.068,125,-400.068,99.9317,-150.068,25.2957,-200.66,-99.4768
pname:wel_0_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:88,-150.068,125,-400.068,99.9317,-150.068,9.36276,-168.794,-131.343
pname:wel_0_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:103,-150.068,125,-400.068,99.9317,-150.068,6.11992,-162.308,-137.828
pname:wel_0_inst:1_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:28,-150.091,125,-400.091,99.9094,-150.091,28.5994,-207.289,-92.8919
pname:wel_0_inst:1_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:34,-150.091,125,-400.091,99.9094,-150.091,34.4424,-218.975,-81.2059
pname:wel_0_inst:1_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:61,-150.091,125,-400.091,99.9094,-150.091,21.1928,-192.476,-107.705
pname:wel_0_inst:1_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:79,-150.091,125,-400.091,99.9094,-150.091,28.1061,-206.303,-93.8784
pname:wel_0_inst:1_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:88,-150.091,125,-400.091,99.9094,-150.091,19.1802,-188.451,-111.73
pname:wel_0_inst:1_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:103,-150.091,125,-400.091,99.9094,-150.091,6.0471,-162.185,-137.996
pname:wel_0_inst:2_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:28,-150.082,125,-400.082,99.9183,-150.082,26.8155,-203.713,-96.4507
pname:wel_0_inst:2_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:34,-150.082,125,-400.082,99.9183,-150.082,33.8719,-217.825,-82.3378
pname:wel_0_inst:2_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:61,-150.082,125,-400.082,99.9183,-150.082,26.4524,-202.987,-97.1768
pname:wel_0_inst:2_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:79,-150.082,125,-400.082,99.9183,-150.082,36.1446,-222.371,-77.7926
pname:wel_0_inst:2_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:88,-150.082,125,-400.082,99.9183,-150.082,26.7862,-203.654,-96.5093
pname:wel_0_inst:2_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:103,-150.082,125,-400.082,99.9183,-150.082,9.46732,-169.016,-131.147
pname:wel_0_inst:3_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:28,-150.094,125,-400.094,99.9063,-150.094,29.9852,-210.064,-90.1232
pname:wel_0_inst:3_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:34,-150.094,125,-400.094,99.9063,-150.094,31.9904,-214.074,-86.1129
pname:wel_0_inst:3_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:61,-150.094,125,-400.094,99.9063,-150.094,27.9978,-206.089,-94.098
pname:wel_0_inst:3_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:79,-150.094,125,-400.094,99.9063,-150.094,41.5761,-233.246,-66.9414
pname:wel_0_inst:3_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:88,-150.094,125,-400.094,99.9063,-150.094,24.0036,-198.101,-102.086
pname:wel_0_inst:3_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:103,-150.094,125,-400.094,99.9063,-150.094,6.65409,-163.402,-136.785
pname:wel_0_inst:4_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:28,-150.067,125,-400.067,99.9334,-150.067,33.9244,-217.915,-82.2178
pname:wel_0_inst:4_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:34,-150.067,125,-400.067,99.9334,-150.067,34.4928,-219.052,-81.0809
pname:wel_0_inst:4_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:61,-150.067,125,-400.067,99.9334,-150.067,25.19,-200.447,-99.6866
pname:wel_0_inst:4_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:79,-150.067,125,-400.067,99.9334,-150.067,38.8109,-227.688,-72.4447
pname:wel_0_inst:4_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:88,-150.067,125,-400.067,99.9334,-150.067,21.2015,-192.47,-107.664
pname:wel_0_inst:4_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:103,-150.067,125,-400.067,99.9334,-150.067,7.32888,-164.724,-135.409
pname:wel_0_inst:5_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:28,-150.086,125,-400.086,99.9136,-150.086,39.071,-228.228,-71.9444
pname:wel_0_inst:5_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:34,-150.086,125,-400.086,99.9136,-150.086,46.6981,-243.483,-56.6902
pname:wel_0_inst:5_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:61,-150.086,125,-400.086,99.9136,-150.086,29.4852,-209.057,-91.1159
pname:wel_0_inst:5_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:79,-150.086,125,-400.086,99.9136,-150.086,41.7548,-233.596,-66.5768
pname:wel_0_inst:5_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:88,-150.086,125,-400.086,99.9136,-150.086,27.4247,-204.936,-95.2369
pname:wel_0_inst:5_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:103,-150.086,125,-400.086,99.9136,-150.086,8.0005,-166.087,-134.085
pname:wel_0_inst:6_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:28,-150.081,125,-400.081,99.9192,-150.081,43.3335,-236.748,-63.4137
