parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,idx0,idx1,inst,pname,pstyle,ptype,usecol
pname:wel_0_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:28,none,factor,-150.06827167,-500.0,0.0,welrate,1.0,0.0,1,2,28,0,wel,d,gr,3
pname:wel_0_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:34,none,factor,-150.06827167,-500.0,0.0,welrate,1.0,0.0,1,2,34,0,wel,d,gr,3
pname:wel_0_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:61,none,factor,-150.06827167,-500.0,0.0,welrate,1.0,0.0,1,2,61,0,wel,d,gr,3
pname:wel_0_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:79,none,factor,-150.06827167,-500.0,0.0,welrate,1.0,0.0,1,2,79,0,wel,d,gr,3
pname:wel_0_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:88,none,factor,-150.06827167,-500.0,0.0,welrate,1.0,0.0,1,2,88,0,wel,d,gr,3
pname:wel_0_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:103,none,factor,-150.06827167,-500.0,0.0,welrate,1.0,0.0,1,2,103,0,wel,d,gr,3
pname:wel_0_inst:1_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:28,none,factor,-150.09063167,-500.0,0.0,welrate,1.0,0.0,1,2,28,1,wel,d,gr,3
pname:wel_0_inst:1_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:34,none,factor,-150.09063167,-500.0,0.0,welrate,1.0,0.0,1,2,34,1,wel,d,gr,3
pname:wel_0_inst:1_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:61,none,factor,-150.09063167,-500.0,0.0,welrate,1.0,0.0,1,2,61,1,wel,d,gr,3
pname:wel_0_inst:1_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:79,none,factor,-150.09063167,-500.0,0.0,welrate,1.0,0.0,1,2,79,1,wel,d,gr,3
pname:wel_0_inst:1_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:88,none,factor,-150.09063167,-500.0,0.0,welrate,1.0,0.0,1,2,88,1,wel,d,gr,3
pname:wel_0_inst:1_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:103,none,factor,-150.09063167,-500.0,0.0,welrate,1.0,0.0,1,2,103,1,wel,d,gr,3
pname:wel_0_inst:2_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:28,none,factor,-150.081658,-500.0,0.0,welrate,1.0,0.0,1,2,28,2,wel,d,gr,3
pname:wel_0_inst:2_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:34,none,factor,-150.081658,-500.0,0.0,welrate,1.0,0.0,1,2,34,2,wel,d,gr,3
pname:wel_0_inst:2_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:61,none,factor,-150.081658,-500.0,0.0,welrate,1.0,0.0,1,2,61,2,wel,d,gr,3
pname:wel_0_inst:2_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:79,none,factor,-150.081658,-500.0,0.0,welrate,1.0,0.0,1,2,79,2,wel,d,gr,3
pname:wel_0_inst:2_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:88,none,factor,-150.081658,-500.0,0.0,welrate,1.0,0.0,1,2,88,2,wel,d,gr,3
pname:wel_0_inst:2_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:103,none,factor,-150.081658,-500.0,0.0,welrate,1.0,0.0,1,2,103,2,wel,d,gr,3
pname:wel_0_inst:3_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:28,none,factor,-150.09366767,-500.0,0.0,welrate,1.0,0.0,1,2,28,3,wel,d,gr,3
pname:wel_0_inst:3_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:34,none,factor,-150.09366767,-500.0,0.0,welrate,1.0,0.0,1,2,34,3,wel,d,gr,3
pname:wel_0_inst:3_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:61,none,factor,-150.09366767,-500.0,0.0,welrate,1.0,0.0,1,2,61,3,wel,d,gr,3
pname:wel_0_inst:3_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:79,none,factor,-150.09366767,-500.0,0.0,welrate,1.0,0.0,1,2,79,3,wel,d,gr,3
pname:wel_0_inst:3_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:88,none,factor,-150.09366767,-500.0,0.0,welrate,1.0,0.0,1,2,88,3,wel,d,gr,3
pname:wel_0_inst:3_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:103,none,factor,-150.09366767,-500.0,0.0,welrate,1.0,0.0,1,2,103,3,wel,d,gr,3
pname:wel_0_inst:4_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:28,none,factor,-150.06658367,-500.0,0.0,welrate,1.0,0.0,1,2,28,4,wel,d,gr,3
pname:wel_0_inst:4_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:34,none,factor,-150.06658367,-500.0,0.0,welrate,1.0,0.0,1,2,34,4,wel,d,gr,3
pname:wel_0_inst:4_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:61,none,factor,-150.06658367,-500.0,0.0,welrate,1.0,0.0,1,2,61,4,wel,d,gr,3
pname:wel_0_inst:4_ptype:gr_usecol:3_pstyle:d_idx0:2_idx1:79,none,factor,-150.06658367,-500.0,0.0,welrate,1.0,0.0,1,2,79,4,wel,d,gr,3
